source,interaction,target
NEK9,1,ARHGEF2
RASGRF1,1,NRAS
RASGRF1,1,RAC1
CAMK2A,1,RASGRF1
CALM3,1,RASGRF1
CALM1,1,RASGRF1
CALM2,1,RASGRF1
CALM3,1,RIN1
CALM1,1,RIN1
CALM2,1,RIN1
RIN1,-1,NRAS
YWHAH,-1,RIN1
PRKD1,1,YWHAH
NTRK2,1,SHC1
GSK3A,1,CREB1
PPP2R5C,1,GSK3A
SH3KBP1,1,JAK2
CAMK4,1,CREM
RGS2,-1,GNA11
RGS2,-1,GNAQ
RGS2,-1,GNAI3
IGF1R,1,VAV2
AXIN1,1,GSK3A
GSK3A,-1,CTNNB1
ANAPC1,-1,CTNNB1
GSK3A,1,ANAPC1
CREM,-1,CREB1
GRB2,1,DNM1
SRC,1,DNM1
MAPK8IP1,1,RASGRF1
MAPK8IP1,1,TIAM1
MAPK8IP1,1,MAPK14
PRKACA,1,CREBBP
CREB1,1,TAF1
PRKACA,1,PPP1R1B
CARM1,1,CTNNB1
FN1,1,ITGB1
PPP1R1B,-1,PPP1CC
PRKACA,-1,ADRB2
PRKCA,-1,NFASC
RAP1GAP,-1,RAP1A
RGS19,-1,GNAQ
PTK2,1,SHC1
F2RL1,1,GNB2
F2RL1,1,GNAQ
ARRB1,-1,F2RL1
NTRK1,1,GRB2
TSC2,-1,RAP1A
SYN1,-1,GNAZ
PAK1,-1,SYN1
DRD2,1,GNAZ
HTR1A,1,GNAZ
GNAZ,-1,ADCY5
CBLB,-1,VAV2
PPP3R1,-1,PPP1R1B
PRKACA,-1,DRD1
SIAH2,-1,VAV2
DOK1,1,RASGRP3
ABL1,1,DOK1
ARRB1,-1,ADRB2
CBLB,-1,SRC
CBLB,-1,PIK3CA
GAB1,1,PIK3CA
CALM3,1,DAPK1
CALM2,1,DAPK1
COX5B,1,APAF1
SRC,-1,CTTN
GSN,-1,CASP9
EGFR,1,EPB41
PRKACA,1,FLNA
SHANK1,1,ARHGEF7
ARHGEF7,1,GIT1
PRKCA,1,EIF4E
PPP2R5C,-1,AKT1
CALM3,-1,AKAP5
CALM1,-1,AKAP5
CALM2,-1,AKAP5
CALM3,-1,NRAS
CALM1,-1,NRAS
CALM2,-1,NRAS
PRKCA,-1,GRK2
CALM3,-1,GRK2
CALM1,-1,GRK2
CALM2,-1,GRK2
GRB2,-1,PTPRA
GABBR1,1,GNAO1
PRKCA,1,GRM1
PRKACA,1,GRIN2A
CBLB,-1,CRK
CAMKK2,1,AKT1
CBLB,-1,FYN
CBLB,-1,LCK
CDC42,1,MAP3K10
RAC1,1,MAP3K10
SYNGAP1,-1,NRAS
CAMK4,1,SYN1
CAMK2A,1,SYNGAP1
RASGRP3,1,AKT1
ILK,1,AKT1
ILK,-1,GSK3A
CAMKK2,1,CAMK4
PKIA,-1,PRKACA
PPP2R5C,-1,BCAR1
GSK3A,1,SERPINB2
CSNK1G1,1,SERPINB2
SERPINB2,-1,PPP1CC
SH3KBP1,-1,SPRY1
SRC,1,PTPRA
PPP1CC,-1,GRIN2A
PPP2R5C,-1,GRIN2A
DLG4,1,NOS1
PPP1CC,-1,CAMK2A
PRKACA,-1,PPP1R1A
PPP1R1A,-1,PPP1CC
PPP3R1,-1,SYN1
PRKCA,-1,GSK3A
PTPRA,1,FYN
IQGAP1,-1,CDC42
IQGAP1,-1,RAC1
PTPRA,1,LCK
GRK2,-1,OPRM1
ARRB1,-1,OPRM1
PRKCA,-1,BCL2
GSK3A,-1,JUN
RAF1,-1,BAD
PPM1A,1,BAD
PPP2R5C,1,BAD
PPP1CC,1,BCL2
KHDRBS2,-1,CREBBP
DLGAP1,1,SHANK1
RACK1,-1,FYN
PRKACA,-1,PTPN5
PPP3R1,1,PTPN5
PRKCA,-1,IRS1
CAMK2A,-1,ARHGAP32
PPP2R5C,-1,CREB1
AKT1,-1,TP53BP1
BAX,-1,BAD
BAK1,-1,BAD
PPP2R5C,-1,CAMK4
GSK3A,-1,NFATC1
CSNK1G1,-1,NFATC1
MAPK14,-1,NFATC1
PRKACA,-1,NFATC1
YWHAH,-1,NFATC1
YWHAH,-1,FOXO1
DLGAP1,1,DLG4
DLG4,1,DLGAP1
MAP3K1,1,MAPK8
PIN1,1,JUN
PPP2R5C,-1,BCL2
CASP3,-1,PPP2R5C
CASP3,1,PPP3R1
LCK,1,PLCG1
LYN,1,PLCG1
FYN,1,PLCG1
HCK,1,PLCG1
ARHGEF12,1,ARHGAP1
EPB41,1,DLG1
SRC,1,DLG4
JUN,1,CREB1
MAP3K1,1,EPHA4
MAPK14,1,JUN
CAMK2A,1,DLG1
NPM1,-1,HEXIM1
PPP2R5C,-1,CAMK1
CAMK2A,-1,PPP2R5C
BCL2,-1,BID
CRK,1,PXN
PXN,1,CRK
ARHGAP32,-1,ARHGAP1
YWHAH,-1,RAF1
PPP3R1,-1,PPP1R1A
CASP3,-1,RB1
PPP3R1,-1,CAMK4
PPP3R1,-1,GRIN2A
GRM7,1,GNAI3
GRM7,1,GNAO1
GRM7,1,GNB2
CALM3,-1,GRM7
CALM1,-1,GRM7
CALM2,-1,GRM7
PRKCA,1,GRM7
PRKACA,1,GRM7
CALM3,-1,DRD2
CALM1,-1,DRD2
CALM2,-1,DRD2
MAP3K10,1,DLG4
FYN,1,FLT3
PICK1,-1,GRM7
GSK3A,-1,PSEN1
CALM1,1,RAC1
SRC,1,GRK2
CALM3,1,RAC1
CALM3,1,RIT2
CALM1,1,RIT2
CALM2,1,RIT2
SRC,1,SYK
NF1,-1,NRAS
MAPK1,1,KHDRBS2
FYN,1,DLG4
CREB1,1,GTF2B
GDF15,1,ERBB2
BAG2,1,RAF1
BAG2,1,BCL2
MDM2,-1,TP53BP1
DLGAP1,1,NOS1
PRKACA,1,STK24
ITGB1,1,PTK2B
PPP3R1,1,BAD
YWHAH,1,TP53BP1
NTRK2,1,IRS2
NTRK2,1,IRS1
YWHAH,-1,IRS1
CAPN1,-1,CABIN1
CABIN1,-1,PPP3R1
OPRK1,1,GNB2
PPP3R1,-1,CREB1
SHC1,1,PIK3CA
ERBB2,1,PIK3CA
NTRK1,1,PIK3CA
PRKACA,1,RIMS1
PRMT1,1,KHDRBS2
COL1A1,1,ITGB1
VTN,1,ITGB1
FGA,1,ITGB1
RAPGEF1,1,NRAS
OPRD1,1,GNB2
OPRD1,1,GNAO1
OPRD1,1,GNAI3
OPRK1,1,GNAO1
OPRK1,1,GNAI3
OPRM1,1,GNAO1
OPRM1,1,GNAI3
ERBB2,1,SNTA1
GRIN2A,1,PLCG1
GRIN2A,1,DLG3
NTRK1,1,IRS1
RAP2A,1,NRAS
RAP2A,1,RALGDS
IGF1R,1,SHC1
IGF1R,1,GRB10
INSR,1,GRB10
GRB10,1,PIK3CA
PPP1CC,-1,CREB1
TP73,-1,UVRAG
ULK1,1,GABARAP
ULK1,1,ATG14
GABARAP,-1,DVL2
MTOR,1,AKT1
GSK3B,1,KAT5
RELA,1,BECN1
EIF4EBP1,-1,RPTOR
RB1CC1,1,TP53
RB1CC1,-1,PTK2B
RB1CC1,-1,TSC1
KAT5,1,ULK1
NFKBIE,-1,NFE2L2
IKBKB,-1,NFE2L2
MAPK13,-1,NFE2L2
HDAC3,-1,NFE2L2
HDAC3,-1,PAG1
MAFG,-1,JUN
TNF,1,NFE2L2
ESR1,-1,NFE2L2
HSP90AB1,-1,KEAP1
TXN,1,SETD2
PRKCA,1,NFE2L2
MAP2K6,-1,NFE2L2
MAPK12,-1,NFE2L2
CSNK2A1,-1,KEAP1
CSNK2A1,-1,NFE2L2
PRKCD,1,NFE2L2
SQSTM1,-1,KEAP1
KEAP1,-1,IKBKB
KEAP1,-1,RAC1
KEAP1,1,CUL3
MAPK11,-1,NFE2L2
HDAC2,-1,NFE2L2
SIRT1,-1,NFE2L2
KEAP1,-1,PGAM5
PGAM5,-1,NFE2L2
ATM,1,NFKBIA
CHUK,-1,NCOR2
ERC1,1,CHUK
MAPK14,1,CSNK2B
CSNK2B,-1,NFKBIA
MAPK14,-1,NFKBIA
EP300,1,RELA
IKBKB,1,NFKBIE
MAP3K1,1,IKBKB
ATM,1,MRE11
RPS6KA1,1,NFKBIA
YWHAQ,-1,FOXO3
MAP2K6,1,MAPK8
AXIN1,1,APC
IFIH1,-1,TRAF3
PDPK1,1,RPS6KA3
PDPK1,1,RPS6KA2
ECSIT,1,MAP3K1
CD14,1,TLR4
RIGI,-1,IFIH1
TLR4,1,MYD88
CASP12,-1,CASP1
COP1,-1,CASP1
RIGI,-1,TRAF3
RIGI,1,TBK1
RIGI,1,IKBKE
IFIH1,1,TBK1
IFIH1,1,IKBKE
MAVS,-1,TRAF3
MAVS,1,IKBKE
TRAF3,1,IKBKE
IKBKE,-1,TANK
IKBKE,1,TBK1
TBK1,1,IKBKE
TRAF3,1,TBK1
MAVS,1,IRF3
MAVS,-1,IRF7
COP1,-1,NLRC4
CASP1,-1,NLRC4
COP1,-1,NLRP1
COP1,-1,CASP5
CASP1,-1,NLRP1
SRC,-1,ING1
CASP1,-1,CASP5
COP1,-1,CARD8
NOD1,1,MAPK14
NLRC4,-1,NOD1
NOD1,-1,RIPK2
NLRC4,-1,RIPK2
RIPK2,1,IKBKB
ERBIN,-1,NOD2
NOD2,1,MAPK1
NLRC4,-1,NOD2
NOD2,-1,RIPK2
NOD2,1,MAPK14
CARD9,1,MAPK14
NOD2,1,MAPK8
CARD9,1,MAPK8
ERBIN,-1,RIPK2
NOD2,-1,NOD1
RIPK2,1,MAP3K7
TRAF6,1,IKBKB
TRAF6,1,NFKBIA
RIPK2,1,MAPK14
TRAF6,1,MAPK14
MAP3K7,1,MAPK14
RIPK2,1,MAPK8
TRAF6,1,MAPK8
UBE2N,-1,MAP3K7
TRAF6,-1,IKBKG
SPAG5,1,CDK5RAP2
TNFRSF1A,1,CASP8
CASP10,1,CASP7
EIF2AK2,1,TP53
BID,1,CYCS
BID,1,DIABLO
PRKCZ,1,NFKB1
TBK1,1,NFKB1
MAP3K7,1,NFKB1
IL1R1,1,MYD88
TLR2,1,MYD88
SOCS3,-1,IFNGR1
PRKCD,1,STAT1
JAK2,1,JAK1
JAK1,1,JAK2
JAK1,1,TYK2
STAT2,1,STAT1
CREBBP,1,IRF9
MAPK1,1,RPS6KA4
MAPK3,-1,GABBR1
MAGI2,1,PTEN
CCNH_CDK7_ERCC2_ERCC3_GTF2H1_GTF2H2_GTF2H2C_2_GTF2H3_GTF2H4_GTF2H5_MNAT1,-1,E2F1
MAPK12,1,SNTA1
BTRC_CUL1_SKP1,-1,CEP68
CTNND2,1,ERBIN
CSNK1A1,-1,ATM
DLGAP1,1,SHANK2
SIRT7,1,DDX21
PRKCD,1,SDC4
CDK1,-1,SIRT2
PTPN11,-1,CTNNA1
PRKACA,1,LATS1
CDK1,1,PKN1
MAP4K5,-1,GSK3B
DUSP6,-1,MAPK8
PTK2B,1,TBK1
PRKCD,-1,CXCR4
EP300,1,FLI1
PIM1,1,SKP2
MAPK1,1,CTTN
WNK3,1,WNK1
MST1,1,PRKCA
ATM,-1,PPP1R2
CDK7,1,RARG
PIM1,-1,FOXO3
LAMA3_LAMB3_LAMC2,1,ITGA6_ITGB4
SDC4,1,DVL2
RPS6KA1,1,RANBP3
DUSP4,-1,MAPK9
HRH1,1,GNAL
INSR,1,GAB1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,NEDD4L
MAPK14,-1,GLI1
SMURF1,-1,BMPR1A
GSK3B,-1,MAP1B
SRC,1,TRAF6
PPP3CA,1,NFATC1
BCR,1,YWHAQ
SKP2,-1,CCND1
PPM1A,-1,IKBKB
CSNK1A1,-1,DEPTOR
PRKACA,-1,PRKAA1
TNKS,-1,AXIN2
MAPK3,1,TWIST1
NCOA3,1,ATF4
SRC,1,IGF1R
AKT1,1,MAP3K8
PIK3CA,1,PIK3R1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,-1,ULK1
LATS2,-1,YAP1
PRTN3,-1,F2RL1
SPOP,1,BMI1
MAPK3,1,SYN3
MAPK3,-1,IRS1
CHEK1,1,TP73
PRKD1,1,PPP1R14A
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,YAP1
CDK1,-1,STIP1
DTL,1,CRBN_CUL4A_DDB1_RBX1
PRKACA,-1,MC4R
PPP2CA,-1,AKT3
ATM,1,MECOM
ITGA2B_ITGB3,1,PTPN1
DNM1,1,MYO1E
PRKAA1,1,FOXO1
EGFR,1,GAB1
MSX2,1,SPEN
CDK1,1,AMBRA1
CSNK2A1,-1,CALM1
EDNRA,1,GNAI3
MAPK3,-1,CIC
PRKCA,1,JAK2
CDK1,-1,UBXN2B
SKIL,-1,SMAD1
GTF2B,1,FOXF2
STK3,1,NEK2
SRC,1,HDAC3
GSK3B,-1,GPHN
TELO2,1,DEPTOR_EEF1A1_MLST8_MTOR_PRR5_RICTOR
USP14,1,CXCR4
GSK3B,1,SPAG5
F2R,1,GNAO1
CDK5,-1,NR3C1
PDGFB,1,PDGFRB
ITGB1BP1,-1,ITGB8
AKT1,-1,NPM1
CHUK_IKBKB_IKBKG,-1,IKBKG
CCNA2_CDK2,1,TP53
SMAD3,-1,CEBPB
PBK,1,JUN
SRC,1,CAPN2
GSK3B,1,BAX
RALA,1,FOXO4
AKT1,1,AKT1S1_DEPTOR_MLST8_MTOR_RPTOR
ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27,-1,IRS2
CDK5,1,APEX1
PRKD1,-1,RIN1
RET,1,PDPK1
PBK,-1,ULK1
BMP4,1,BMPR1A_BMPR1B_BMPR2
OXSR1,-1,PAK1
SMURF1,-1,BMPR2
NF2,1,STK3
WWTR1,1,MYOD1
NRXN2,1,DAG1
CSNK2A1,-1,RIGI
MOB1B,1,LATS2
MAPK8,-1,GRB7
FYN,1,PRKCQ
FZD3,1,GNA12
FBXO32,1,CUL1_RBX1_SKP1
DDX21,1,JUN
PPP2CB,-1,PRKCD
MTOR,-1,IRS1
RET,1,MAPK14
BRCA1,-1,ERCC6
PRKACA,-1,IRS1
GSK3A,-1,MYC
STK4,1,MOB1A
CDK1,1,CDC25C
PRKCB,-1,STXBP1
MAPK3,1,MAPKAPK2
PRKACA,-1,GLI2
PTPRJ,-1,MAPK1
SKI,-1,SMAD1
RPS6KB1,-1,DEPTOR
CUL3_RBX1_SKP1,-1,DVL1
GNA12,1,PPP5C
GNA13,1,PPP5C
GNA12,1,BTK
CSNK2A1,1,SEC63
PIM1,1,RELA
WWTR1,1,PAX3
TP53INP1,1,MAP1LC3A
PTPN1,-1,PDGFRB
ERBB4,1,PIK3CG
DUSP4,-1,MAPK14
CSNK1D,-1,MDM2
ADIPOR1,1,APPL1
IL13,1,IL4R
RHEB,-1,EIF2AK3
TNFAIP3,-1,TRAF6
TGFB1,1,PIK3R1
F2,1,F2RL2
F2R,1,GNA12
AURKB,1,HASPIN
PPP1R2,-1,PPP1CA
HDAC1,-1,RELA
MAPK8,1,TWIST1
KAT2B,-1,H3C13
WNT1,1,FZD8
PTPRF,-1,BCAR1
AKT3,-1,BRAF
ESR1,1,FOS_JUN
DNM2,1,VAV1
ERBB2,1,SHC3
SRC,-1,CDH2
SRC,1,INPPL1
MAPK1,1,ESR1
AXIN2,1,APC
PTPRJ,-1,PIK3CA_PIK3R1
WDR62,1,MAP3K3
CDK2,1,SKP2
CDK1,1,MAPK6
MAP3K3,1,WDR62
PIM1,1,NFATC1
PPP2CB,-1,MYC
MYCBP2,-1,MYC
PRKCD,-1,HABP4
NLK,-1,FOXO1
WDFY3,-1,GABARAP
ABL1,1,STK4
SRC,1,CTNND1
EDNRA,1,GNAI1
CSNK1A1,-1,MYC
EGR1,1,SF1
SPOP,-1,DAXX
APC_AXIN1_GSK3B,-1,CTNNB1
CDK2,-1,FZR1
HIPK2,-1,ZBTB4
MAPK1,1,RPS6KB1
GRM1,1,GNAS
PRKACA,1,FYN
MAPK11,1,HBP1
PCBP2,-1,MAVS
LCK,1,PLCG2
IFNAR1,1,PIK3CA_PIK3R1
IKBKG,1,RELA
PRKCG,1,PSEN1
CSNK1E,-1,PER1
SIRT7,-1,TP53
SRC,1,GIT1
EGFR,1,ERRFI1
AKT1,-1,CFLAR
PRKCI,-1,FBXW7
MAPK14,1,TP53
GP1BA_GP1BB_GP5_GP9,1,FLNA
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,-1,EIF4EBP1
PRKCA,-1,HES1
PLK1,-1,HSF1
PRKAA2,-1,DUSP1
OXTR,1,DRD2
COL1A1,1,DDR1
CDK1,-1,TSC1
SRC,1,FCRL3
CSNK1G1,-1,FOXO1
STAT6,-1,NFKB1_RELA
MAPK10,-1,DIABLO
CUL1_RBX1_SKP1,-1,IL22RA1
PLK1,-1,NOTCH1
CDK2,-1,SMAD3
MAPK3,1,ESR1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,PRKAA1
MELK,1,FOXM1
FZD5,1,LRP5
MAP3K5,1,CDKN1A
MAPK3,1,SP1
IGF1R,1,PDPK1
PIN1,-1,IRF3
PRKCD,-1,NR2F6
PTH,1,PTH1R
RPS6KA3,1,ATF4
PRKG1,-1,HRH1
LCK,1,DEF6
STK11,-1,PTEN
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,PPARGC1A
JUN,1,SPI1
CSNK1A1,-1,CDH1
PTPN12,-1,INSR
LRP5,1,DVL1
IKBKE,-1,YAP1
PTPRC,-1,JAK2
CTNND1,1,CDH3
PRKACA,1,CTNNB1
CUL1_RBX1_SKP1,-1,KDM4A
PRKAA1,1,FOXO3
CSNK2A1,-1,TELO2
MAPK3,1,ASB2
PPP2CA,-1,AKT1
SRC,1,SPRY2
PKN1,1,RAF1
PPP3CB,1,NFATC1
CSNK2A1,-1,MYB
ADAM17,1,HBEGF
STK3,1,MOB1A
PAK1,-1,SPEN
SGK3,-1,FOXO3
MAPK1,1,ABI1
PTPN11,1,CDC73
CAMK2A,1,RIMS1
GSK3B,-1,CD274
CREBBP,1,KLF1
DCC,1,PTK2
CUL1_FBXW7_SKP1,-1,BLM
CCNA2_CDK2,-1,RUNX1
PRKCQ,-1,PTPN6
AKT1,-1,BRAF
PTPRJ,-1,RET
PRKACA,1,PJA2
PLK1,1,TOPORS
FLT1,1,GNAI1
CALM3,1,PPP3CB
ATM,1,SMAD1
CHUK_IKBKB_IKBKG,-1,MTURN
MTURN,-1,CHUK_IKBKB_IKBKG
RPS6KB1,-1,IRS1
CHEK1,1,CDC7
CDK1,1,RPS6KB1
PRKCE,1,PRKD2
AKT1,-1,LARP1
SRC,1,TRIM25
SOCS3,-1,IRS1
INSR,-1,ADRB2
GEM,-1,ROCK2
IKBKB,-1,COPS5
A2M,-1,MMP9
MMP9,-1,A2M
FST,-1,MSTN
CDK1,1,RANBP2
CCNA2_CDK2,-1,SLBP
IKBKB,-1,CYLD
ATM,1,METTL3
CDK1,1,YAP1
CDK3,-1,NOTCH1
PTPN11,-1,ERBB2
ERCC6,-1,APEX1
FBXO32,-1,MYOD1
PPP2CA,1,SP1
NRAS,1,PIK3CA_PIK3R1
FGFR1,-1,PDP1
ELANE,-1,F2RL1
NEK2,-1,PPP1CC
PRKAA2,1,ULK1
CALM1,1,GEM
RAB1A,1,C9orf72
MAPK1,-1,EIF4EBP1
STK3,-1,PIK3CA
PRKACA,1,CUL5
RPS6KB1,-1,TP63
PRKCQ,1,CBL
DEPTOR_EEF1A1_MLST8_MTOR_PRR5_RICTOR,1,AKT1
EREG,1,ERBB4
PTPRJ,-1,MET
PPP2CA,1,RB1
CRBN_CUL4A_DDB1_RBX1,-1,MAGEA3
WWTR1,1,RUNX2
SPOP,-1,NCOA3
GSK3B,-1,CDC25A
MAPK3,1,PCBP2
CAPN2,1,CDK5_CDK5R1
CCNB1_CDK1,-1,WWTR1
SRC,1,RPS6KA3
BIRC3,1,RIPK3
CAMK2A,-1,ETS1
PTPRJ,-1,INSR
MAPK9,1,MYC
LCK,1,ESR1
DOK1,-1,ITGAV_ITGB3
PTPRF,-1,EGFR
CDK9,-1,RCHY1
RNF144B,-1,CDKN1A
CAMK2A,-1,HRH1
BIRC3,1,RIPK4
GPHN,1,ARHGEF9
WNT5A,1,LRP6
PSTPIP1,-1,DNM2
WNK1,1,OXSR1
PRKACA,-1,CASP9
LATS2,-1,WWTR1
MAPK4,1,AKT1
CASP3,1,CASP9
CSNK2A1,1,OTUB1
MEF2C,1,MYOD1
PLK1,-1,CDH1
TGFB1,1,PPP2R2A
CDK1,-1,CASP8
HTR2A,1,GNAI1
GRK2,-1,FPR1
CD247_CD3D_CD3E_CD3G,1,NCK1
SYK,1,MAP4K1
UBE3A,-1,NOL3
PPP2CB,-1,CARD11
STK11,1,PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3
SRC,-1,WNK4
CDK9,-1,MYC
CCNE2_CDK2,-1,RB1
CDON,1,ABL1
SIRT1,1,AKT1
HACE1,-1,RAC1
HSP90AA1,1,NOD2
SMO,1,STK36
MYLK2,1,MEF2C
SRC,1,BDKRB2
AURKA,1,DLGAP5
STAP1,1,STAT5A
NRXN3,1,DAG1
ITCH,1,H1-2
PPP1CA,-1,AXIN1
CCNA2_CDK2,-1,CEP76
PTPRC,-1,TYK2
MMP14,-1,F12
CALM1,1,PPP3CA
PBK,1,PRDX1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,GLI1
ARHGEF15,1,RHOA
PRKACA,1,KCNH2
PRKD1,1,PAK4
CDK1,1,UBE2A
CAMKK2,1,PRKAA1
PIN1,1,NOTCH1
PPP2CA,-1,MAP2K1
GNG2,1,PIK3CA
MAPK3,-1,NR3C2
PRKCA,-1,SHOC2
ADAM17,1,EREG
RFWD3,1,MDM2
MAP3K4,1,MAP2K3
CUL1_SKP1_SKP2,-1,CDK9
PPP1CC,1,CDK9
PRKACA,1,CSNK1A1L
YAP1,-1,DVL1
CUL3,1,LZTR1
AKT1S1_DEPTOR_MLST8_MTOR_RPTOR,1,RPS6KB1
PRKCZ,1,PPP1R14A
EGFR,1,PKIA
CDK2,-1,TP73
ARHGAP5,-1,RHOA
ATM,1,BTRC
TBK1,1,AKT1
CSNK2A1,1,BID
YES1,1,YAP1
KMT2A,1,RUNX1
GRM4,1,GNAS
AURKA,1,NEDD9
RELA,1,EGR1
PAK1,1,CTTN
CCNB1_CDK1,-1,NPM1
NEK6,1,HSPA1A
SMO,1,GNG3
RAD23B,-1,PAX3
PTPN1,-1,GHR
CSNK2A1,1,MECOM
HAT1,-1,H4C6
CDK2,-1,RBL2
PTPRJ,-1,KDR
CREBBP_EP300_KAT2B,1,SMAD2
CSNK2B,1,BID
CCNB1_CDK1,1,KAT5
CDK4,-1,MYOD1
PERP,-1,NFKB1
CCNB1_CDK1,1,PTPN1
PLK1,1,TTK
MAPK9,1,JUN
NLGN2,1,NRXN3
PTPN1,-1,STAT6
PPM1A,-1,AXIN1
CCNB1_CDK1,-1,NCOA3
MAPK7,1,SGK1
CCND1_CDK4,-1,RB1
PRKCZ,1,SP1
CTNNB1,1,NOTCH1
SRC,-1,SOCS1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,-1,AKT1S1_DEPTOR_MLST8_MTOR_RPTOR
PTPN1,-1,EPHA3
CDK1,1,PTPN1
PPM1A,1,PIK3R1
PPP2CA,-1,CILK1
PHLPP1,-1,RPS6KB1
MAPK14,-1,KHSRP
CAMK2A,-1,DLGAP1
CSNK2A1,1,PIAS1
PRKCE,1,ALDH2
EP300,1,MEF2C
MAPK3,1,CTTN
PDPK1,1,SGK2
PRKAA2,-1,RPTOR
IKBKB,1,BCL10
PTPN11,1,MAP3K5
UBE2I,-1,BHLHE40
CDK4,-1,SMAD3
PRKCA,1,EZR
PTEN,-1,STAT5A
CSNK1D,1,TP53
PRKAB1,-1,RPTOR
BLK,1,CD79A_CD79B_P0DOX6_P0DOX7
CSNK2A1,-1,SLBP
PAK2,1,SYK
FYN,-1,GRB10
PLK1,1,BIRC5
FGF1,1,FGFR4
ITGB4,1,PIK3CA
ETS1,-1,GFI1
GFI1,-1,ETS1
MYO10,1,DCC
NLGN2,1,NRXN1
CSNK1D,-1,LEF1
GSK3B,-1,HNRNPD
SGK1,-1,NCSTN
PPP2CA,-1,EIF4E
A2M,-1,MMP2
MMP2,-1,A2M
DCC,1,MYO10
MAPK9,1,BAZ1B
TRIP11,1,THRB
BRSK1,-1,CDC25C
PRKCD,-1,GSK3A
GSK3B,-1,SMAD4
MYO1E,1,PTK2
CSF2RA_CSF2RB,1,PIK3CA_PIK3R1
CDK1,-1,NPM1
GSK3B,-1,PSEN1
MAPKAPK5,1,DNAJB1
LCK,1,SHC1
PRKG1,1,FHOD1
E2F5,1,CREBBP_EP300
BCL3,1,HDAC3
GRK2,-1,ADRA2A
RET,1,PTK2
AKT1,1,FBXW7
DUSP5,-1,MAPK14
AKT2,1,CHUK_IKBKB_IKBKG
HIPK2,-1,HDAC3
MAPK1,1,GLI1
PRKCZ,-1,CTNNB1
PRKDC,1,XRCC6
APBB1,1,TSHZ3
FLI1,1,GATA1
BTRC_CUL1_SKP1,-1,TIAM1
CGA,1,TSHR
MAPK8,1,FOS_JUN
PRKCG,1,ARHGEF7
BRD4,-1,MYC
ACP1,-1,AKT1
PTPN1,1,SRC
ASXL1,1,AEBP2_EED_EZH2_RBBP4_SUZ12
MYCBP2,-1,TSC1_TSC2
MTOR,-1,PRKN
ZMIZ1,1,AR
ATM,1,TTC5
CHN2,-1,RAC1
PLK1,1,ARHGDIA
CRTC3,1,BCL3
CSNK1D,-1,PER1
AKT1,-1,CABLES1
CDK2,1,CCNO
APH1A_NCSTN_PSEN1_PSENEN,1,NOTCH3
PRKACA,1,PARP1
HTR2A,1,GNAZ
MAPK1,1,CDKN1B
MAPK3,1,CAPN2
CCNE2_CDK2,1,PARP10
CCNB1_CDK1,1,YAP1
ROCK1,-1,ARHGAP35
SPART,1,ITCH
ITCH,1,SPART
CSNK2A1,-1,PTEN
SLA,-1,EPHA2
CSNK2A1,-1,JUN
PRKAA1,-1,DDIT3
MAPK1,1,KHDRBS1
EPN1,-1,EGFR
AKT1,-1,ADRB2
PRKG1,-1,HSPB1
FZD3,1,CXCL1
BMPR1A_BMPR1B_BMPR2,1,SMAD1
FGFR3,-1,CILK1
CCAR2,-1,HDAC3
SRC,-1,CDKN1B
SP1,1,ITGA11
PRKCD,-1,IRS1
CSNK1E,1,APC
WDR62,1,CDK2
RIPK1,1,TRAF6
CSK,-1,ITCH
MAP2K2,-1,CASP9
PRKDC,-1,PPARGC1A
PAK4,1,CTNNB1
TLN1,1,ITGB5
CHEK1,-1,SYK
CSK,-1,LYN
PIM1,-1,FZR1
IKBKB,-1,IRS1
F2RL1,1,GNAZ
PIK3C3,1,PTEN
FZD7,1,DVL1
PRKAA1_PRKAA2_PRKAB1_PRKAB2_PRKAG1_PRKAG2_PRKAG3,1,FOXO3
CUL1_RBX1_SKP1,-1,EP300
WNT1,1,FZD3
PPP2CA,1,HDAC4
PTPRJ,1,SRC
BDKRB2,1,GNA12
MAPK1,1,ASB2
AKT2,-1,GSK3B
PRKACA,-1,GFAP
GSK3B,1,ESR1
CALM2,1,GEM
FCRL3,1,PTPN6
RIPK1,1,TAB3
CDK2,1,RNF138
AURKA,-1,PIN1
PRKACA,-1,ARHGEF6
DRD2,1,GNAI1
PRKAA1,1,HIPK2
CDK2,1,RNF4
